id,category,country,created_at,description,location,manager_id,status,title,updated_at
...,BEACH,India,"2026-09-25 00:42:24.623391","Fully furnished studio apartment (455 sq ft) located at Laxmi Nivas, CT road, Puri.","Puri, Odisha, India",...,PUBLISHED,"Srinivas Kutir, Laxmi Nivas Apt - 50mts from Beach","2026-09-25 00:42:24.624371"
...,TRENDING,Italy,"2026-09-25 00:42:24.639321","The exclusive Villa with heated pool offers a cozy and modern environment to enjoy the sun of our island.","Pozzallo, Italy",...,PUBLISHED,"Villa SOUL SEA- Heated Pool Sea View","2026-09-25 00:42:24.639321"
...,FARMS,"South Africa","2026-09-25 00:42:24.651492","The farm has great walks through grasslands and forest, and a dam with canoes and a boat.","Dargle, South Africa",...,PUBLISHED,"The Cairn, Old Kilgobbin, a converted barn, Dargle","2026-09-25 00:42:24.651492"
...,DOMES,India,"2026-09-25 00:42:24.663382","The best dome stay in Manali offers a unique and luxurious club for glamping experience in the heart of the mountains.","Manali, Himachal Pradesh, India",...,PUBLISHED,"Bastiat Stays| Dome| Private Jacuzzi | Sethan","2026-09-25 00:42:24.663382"
...,MOUNTAINS,India,"2026-09-25 00:42:24.677844","Aizawl Guest House Small Studio Apartment with stunning views.","Aizawl, Mizoram, India",...,PUBLISHED,"AizawlGuestHouse Small Studio","2026-09-25 00:42:24.677844"
...,MOUNTAINS,India,"2026-09-25 00:42:24.689567","It's a brand new studio apartment in the heart of Imphal city. It has all the necessary amenities like fast WiFi, Android TV,  fully equipped Kitchen.","Imphal, Manipur, India",...,PUBLISHED,"CityView Homestay","2026-09-25 00:42:24.689567"
...,BEACH,India,"2026-09-25 00:42:24.700165","Colomb Bay Homes offers you picture postcard beachside living for those seeking rustic charm and peaceful vibes.","South Goa, Goa, India",...,PUBLISHED,"Colomb Bay Homes","2026-09-25 00:42:24.700165"
...,BEACH,India,"2026-09-25 00:42:24.713783","This property is exactly beach front cottage.located on pristine shores of malpe beach in udupi.","Udupi, Karnataka, India",...,PUBLISHED,"BlueWaves -Beach cottage malpe beach","2026-09-25 00:42:24.713783"
...,CASTLES,Austria,"2026-09-25 00:42:24.727452","Schloss Schwertberg, a picturesque castle nestled in the heart of Austria, is a historical gem dating back to the 14th century.","Schwertberg, Austria",...,PUBLISHED,"Charming castle in Austria","2026-09-25 00:42:24.727452"
...,MOUNTAINS,India,"2026-09-25 00:42:24.740590","This 1BHK Apartment is on the first floor of a residential building near the DM Office. The Mall Road is 1.5km, 15-minute walk uphill.","Darjeeling, West Bengal, India",...,PUBLISHED,"Magnolia • The 1BHK Himalayan Getaway","2026-09-25 00:42:24.740590"
...,FARMS,Sweden,"2026-09-25 00:42:24.754491","It is a beautiful environment where you are happy to take walks, a bike ride or swim in Mälaren.","Stallarholmen, Sweden",...,PUBLISHED,"Newly renovated magazine with high cozy factor","2026-09-25 00:42:24.754491"
...,DOMES,India,"2026-09-25 00:42:24.765703","These domes offer a distinctive experience on top of the mountains, where you can enjoy breathtaking mountain views, rainbows, and the lush green valley below. Come here to relax and connect with nature!","Bharmour, himachal pradesh, India",...,PUBLISHED,"Galaxy Glamp 2 Bharmour","2026-09-25 00:42:24.765703"
...,BOATS,India,"2026-09-25 00:42:24.779257","Romantic Houseboat Stay in Alleppey.Enjoy stunning sunrises, authentic Kerala cuisine, and breathtaking sunsets over tranquil waters.","Alappuzha, Kerala, India",...,PUBLISHED,"Serene 2BHK Houseboat stay ALPY","2026-09-25 00:42:24.779257"
...,ARCTIC,Finland,"2026-09-25 00:42:24.792992","Fully equipped VIlla Kiviranta by the lake Kallunkijärvi near Oulanka national park in Kuusamo for a pleasant stay to relax in peaceful environment.","Kuusamo, Finland",...,PUBLISHED,"Lakefront Villa Kiviranta w/sauna, Visit Lapland","2026-09-25 00:42:24.792992"
...,BEACH,India,"2026-09-25 00:42:24.804689","Enjoy a well deserved break from your daily hustle and bustle at our Bayview Villa.","Nandgaon,  Uttar Pradesh, India",...,PUBLISHED,"Bayview Villa - Kashid","2026-09-25 00:42:24.804689"
...,BEACH,India,"2026-09-25 00:42:24.813982","you will love to have amazing hospitality and food at our beach view private pool room.","Korlai, Maharashtra, India",...,PUBLISHED,"The Seascape(Beachview Room3 with private pool)","2026-09-25 00:42:24.813982"
...,TRENDING,India,"2026-09-25 00:42:24.825239","Cradled in the lap of the Himalayas, nestled cozily among the verdant tea gardens of the Darjeeling Hills, Belmont Homes is your perfect getaway to refresh your mind and rejuvenate your soul.","Bloomfield Tea Garden, West Bengal, India",...,PUBLISHED,"Belmont Homes - Great Views, Fond Memories","2026-09-25 00:42:24.825239"
...,BEACH,Maldives,"2026-09-25 00:42:24.838480","Designer beachfront villa within biosphere reserve.","Baa Atoll, Maldives",...,PUBLISHED,"Amilla Villa Residence","2026-09-25 00:42:24.838480"
...,ICONIC_CITIES,Vietnam,"2026-09-25 00:42:24.851128","Nestled in a peaceful alley in Hoan Kiem, this building offers serenity just steps away from Hanoi's vibrant center, combining tranquility with easy access to iconic attractions.","Hoàn Kiếm, Vietnam",...,PUBLISHED,"Lively Corner Old Quarterl Bathtubl Lift 2","2026-09-25 00:42:24.851128"
...,CASTLES,Germany,"2026-09-25 00:42:24.865107","The manor house offers an unforgettable stay with its charming apartments and lovingly designed representative rooms. ","Behren-Lübchin, Germany",...,PUBLISHED,"Apartment Elisabeth Mansion Viecheln Anno 1869","2026-09-25 00:42:24.865107"
...,MOUNTAINS,India,"2026-09-25 00:42:24.879168","Escape to the mesmerizing beauty of Lonavala hills near Pawna dam. Nestled in the scenic landscape, this luxurious 4BHK villa provides breathtaking views and a serene atmosphere for your next vacation.","Lonavala, Maharashtra, India",...,PUBLISHED,"4 BHK Cliffside Villa with Chef and Pool, Lonavala","2026-09-25 00:42:24.879168"
